category_id,category_name
1,5 TOWEL RACK
2,BARSTOOL/CHAIR
3,BOOK ENDS
4,BUCKLE HOLDERS
5,CALENDAR HOLDER
6,CARD HOLDER
7,CHRISTMAS ORNAMENT
8,CHRISTMAS ORNAMENT - CIRCLE
9,CLOCK
10,CROSS
11,CURTAIN ROD HOLDER
12,CURTAIN TIE BACKS (PAIR)
13,DESIGN
14,DINNER BELL
15,DOUBLE OUTLET
16,DOUBLE ROCKER
17,DOUBLE ROCKER SIDE
18,DOUBLE SWITCH
19,DOUBLE SWITCH SIDE
20,DRAWER KNOB
21,DRAWER PULL - 3”
22,FINIAL
23,FIREPLACE TOOLS
24,FIVE OR MORE ROCKER
25,FIVE OR MORE SWITCH
26,HALL TREE
27,HAT RACK
28,HAT RAFK
29,HITCH COVER
30,HOSE HOLDER
31,KEY HOLDER - EX SM 3 HOOK
32,KEY HOLDER - LG 3 HOOK
33,LARGE KEY HOLDER
34,MAGAZINE RACK—HANGING
35,MAGAZINE RACK—STANDING
36,MAGNET
37,MAILBOX TOP
38,"MAILBOX TOPPERS
(SEE SCENES W/ MANY USES)"
39,MAILBOX TOPPERS (SEE SCENES W/ MANY USES)
40,NAPKIN HOLDER
41,NAPKIN RING
42,NIGHT LIGHT
43,NIGHT LIGHT - SMALL
44,PAPER TOWEL - STANDING
45,PAPER TOWEL - UNDER CABINET MOUNT
46,"PAPER TOWEL - WALL MOUNT SINGLE SILHOUETTE
W/ BAR"
47,PAPER TOWEL - WALL MOUNT SINGLE SILHOUETTE W/ BAR
48,PAPER TOWEL - WALL MOUNT/REMOVABLE ROD
49,PAPER TOWEL - WALL MOUNTNSINGLE SILHOUETTE W/ BAR
50,PAPERTOWEL HOLDER
51,POOL CUE HOLDER
52,QUAD ROCKER
53,QUAD ROCKER SIDE
54,QUAD SWITCH
55,QUAD SWITCH SIDE
56,S
57,SHOWER HOOKS
58,SINGLE HOOK
59,SINGLE OUTLET
60,SINGLE OUTLET SIDE
61,SINGLE ROCKER
62,SINGLE ROCKER SIDE
63,SINGLE SWITCH
64,SINGLE SWITCH SIDE
65,SINGLE SWITCH W/ OUTLET
66,SOAP DISH HOLDER
67,SPECIAL SWITCHES
68,SPECIALTY ITEM
69,SPECIALTY ITEMS
70,STAMPEDE DETECTOR
71,STOCKING HOLDER
72,TOILET PAPER HOLDER - W/ BAR
73,TOILET PAPER STANDING
74,TOILET PAPER/ MAGAZINE RACK
75,TOOTH BRUSH HOLDER
76,"TOWEL BAR (WHEN ORDERING, ADD LENGTH
BEHIND PART # -18”, 24” OR 30”)
EX: 93013-18"
77,TOWEL RING
78,TRIPLE ROCKER
79,TRIPLE ROCKER SIDE
80,TRIPLE SWITCH
81,TRIPLE SWITCH SIDE
82,WELCOME SIGN
83,WIND CHIME
84,"WINE RACK (SINGLE BOTTLE W/ 2 GLASSES)
(GLASSES NOT INCLUDED)"
85,nan
