category_name,product_code,size,item_no,weight_lbs,box_dimensions,wholesale_price,retail_price,date
Hat Rack,HR2,"3-HAT HOLDER 38""",403,13,16X14X12,$100.00 ,$155.00 ,2025-11-01
Hat Rack,HR2,"4-HATHOLDER 46""",404,15,16X14X12,$117.00 ,$180.00 ,2025-11-01
Hat Rack,HR2,"5-HATHOLDER 54""",405,17,16X14X12,$133.00 ,$205.00 ,2025-11-01
Hat Rack,HR2,"6-HATHOLDER 62""",406,19,16X14X12,$135.00 ,$231.00 ,2025-11-01
Hat Rack,HR2,"8-HATHOLDER 46""",408,21,24X14X12,$200.00 ,$342.00 ,2025-11-01
Hat Rack,HR2,"10-HATHOLDER 54""",410,24,24X14X12,$230.00 ,$393.00 ,2025-11-01
Hat Rack,HR2,"12-HATHOLDER 62""",412,28,24X14X12,$260.00 ,$444.00 ,2025-11-01
Hat Rack,HR3 HAT UPSIDE DOWN,,,,,$18.50 ,$28.50 ,2025-11-01
Hat Rack,HR4 HAT RIGHT SIDE UP,,,,,$18.50 ,$28.50 ,2025-11-01
Hat Rack,SINGLE HOOK HAT RACK,,227,1,8X6X3,$11.55 ,$17.75 ,2025-11-01
