department_id,department_name,category_id,category_name
2,Storage & Holders,1,5 TOWEL RACK
11,Furniture & Accents,2,BARSTOOL/CHAIR
99,Miscellaneous,3,BOOK ENDS
2,Storage & Holders,4,BUCKLE HOLDERS
2,Storage & Holders,5,CALENDAR HOLDER
2,Storage & Holders,6,CARD HOLDER
13,"Holiday, Religious & Seasonal",7,CHRISTMAS ORNAMENT
13,"Holiday, Religious & Seasonal",8,CHRISTMAS ORNAMENT - CIRCLE
5,Wall & Decorative Art,9,CLOCK
5,Wall & Decorative Art,10,CROSS
2,Storage & Holders,11,CURTAIN ROD HOLDER
99,Miscellaneous,12,CURTAIN TIE BACKS (PAIR)
5,Wall & Decorative Art,13,DESIGN
99,Miscellaneous,14,DINNER BELL
99,Miscellaneous,15,DOUBLE OUTLET
99,Miscellaneous,16,DOUBLE ROCKER
99,Miscellaneous,17,DOUBLE ROCKER SIDE
99,Miscellaneous,18,DOUBLE SWITCH
99,Miscellaneous,19,DOUBLE SWITCH SIDE
99,Miscellaneous,20,DRAWER KNOB
99,Miscellaneous,21,DRAWER PULL - 3”
99,Miscellaneous,22,FINIAL
9,Fireplace & Outdoors,23,FIREPLACE TOOLS
99,Miscellaneous,24,FIVE OR MORE ROCKER
99,Miscellaneous,25,FIVE OR MORE SWITCH
14,Artistic Images,26,HALL TREE
2,Storage & Holders,27,HAT RACK
99,Miscellaneous,28,HAT RAFK
12,Hitch Accessories,29,HITCH COVER
2,Storage & Holders,30,HOSE HOLDER
2,Storage & Holders,31,KEY HOLDER - EX SM 3 HOOK
2,Storage & Holders,32,KEY HOLDER - LG 3 HOOK
2,Storage & Holders,33,LARGE KEY HOLDER
2,Storage & Holders,34,MAGAZINE RACK—HANGING
2,Storage & Holders,35,MAGAZINE RACK—STANDING
17,Magnets,36,MAGNET
8,Exterior Home & Address,37,MAILBOX TOP
8,Exterior Home & Address,38,"MAILBOX TOPPERS
(SEE SCENES W/ MANY USES)"
8,Exterior Home & Address,39,MAILBOX TOPPERS (SEE SCENES W/ MANY USES)
2,Storage & Holders,40,NAPKIN HOLDER
15,Kitchen & Dining,41,NAPKIN RING
16,Lighting & Electrical,42,NIGHT LIGHT
16,Lighting & Electrical,43,NIGHT LIGHT - SMALL
15,Kitchen & Dining,44,PAPER TOWEL - STANDING
15,Kitchen & Dining,45,PAPER TOWEL - UNDER CABINET MOUNT
5,Wall & Decorative Art,46,"PAPER TOWEL - WALL MOUNT SINGLE SILHOUETTE
W/ BAR"
5,Wall & Decorative Art,47,PAPER TOWEL - WALL MOUNT SINGLE SILHOUETTE W/ BAR
5,Wall & Decorative Art,48,PAPER TOWEL - WALL MOUNT/REMOVABLE ROD
5,Wall & Decorative Art,49,PAPER TOWEL - WALL MOUNTNSINGLE SILHOUETTE W/ BAR
2,Storage & Holders,50,PAPERTOWEL HOLDER
2,Storage & Holders,51,POOL CUE HOLDER
99,Miscellaneous,52,QUAD ROCKER
99,Miscellaneous,53,QUAD ROCKER SIDE
99,Miscellaneous,54,QUAD SWITCH
99,Miscellaneous,55,QUAD SWITCH SIDE
99,Miscellaneous,56,S
2,Storage & Holders,57,SHOWER HOOKS
2,Storage & Holders,58,SINGLE HOOK
99,Miscellaneous,59,SINGLE OUTLET
99,Miscellaneous,60,SINGLE OUTLET SIDE
99,Miscellaneous,61,SINGLE ROCKER
99,Miscellaneous,62,SINGLE ROCKER SIDE
99,Miscellaneous,63,SINGLE SWITCH
99,Miscellaneous,64,SINGLE SWITCH SIDE
99,Miscellaneous,65,SINGLE SWITCH W/ OUTLET
2,Storage & Holders,66,SOAP DISH HOLDER
99,Miscellaneous,67,SPECIAL SWITCHES
99,Miscellaneous,68,SPECIALTY ITEM
99,Miscellaneous,69,SPECIALTY ITEMS
99,Miscellaneous,70,STAMPEDE DETECTOR
2,Storage & Holders,71,STOCKING HOLDER
2,Storage & Holders,72,TOILET PAPER HOLDER - W/ BAR
99,Miscellaneous,73,TOILET PAPER STANDING
2,Storage & Holders,74,TOILET PAPER/ MAGAZINE RACK
2,Storage & Holders,75,TOOTH BRUSH HOLDER
5,Wall & Decorative Art,76,"TOWEL BAR (WHEN ORDERING, ADD LENGTH
BEHIND PART # -18”, 24” OR 30”)
EX: 93013-18"
15,Kitchen & Dining,77,TOWEL RING
99,Miscellaneous,78,TRIPLE ROCKER
99,Miscellaneous,79,TRIPLE ROCKER SIDE
99,Miscellaneous,80,TRIPLE SWITCH
99,Miscellaneous,81,TRIPLE SWITCH SIDE
5,Wall & Decorative Art,82,WELCOME SIGN
99,Miscellaneous,83,WIND CHIME
2,Storage & Holders,84,"WINE RACK (SINGLE BOTTLE W/ 2 GLASSES)
(GLASSES NOT INCLUDED)"
99,Miscellaneous,85,
